JD,Phase,Flux,col4
1298.9774, 0.0046088846, 0.94076180,
1298.9819, 0.0055462300, 0.93722874,
1298.9823, 0.0056318758, 0.93785858,
1298.9895, 0.0071092654, 0.94576222,
1298.9900, 0.0071996692, 0.94365555,
1298.9955, 0.0083439919, 0.94035590,
1298.9960, 0.0084343958, 0.93922144,
1299.0016, 0.0095858556, 0.93775254,
1299.0020, 0.0096738805, 0.94275868,
1299.0077, 0.010839615, 0.94170707,
1299.0081, 0.010927639, 0.94330311,
1299.0137, 0.012074341, 0.94656450,
1299.0141, 0.012162366, 0.94038242,
1299.0197, 0.013306689, 0.93993258,
1299.0201, 0.013397093, 0.93541831,
1299.0265, 0.014703191, 0.94068193,
1299.0269, 0.014791215, 0.93436944,
1299.0332, 0.016090176, 0.93620545,
1299.0336, 0.016175822, 0.93399382,
1299.0393, 0.017339177, 0.93941635,
1299.0397, 0.017429581, 0.94046718,
1299.0461, 0.018733300, 0.93730766,
1299.0465, 0.018823704, 0.93522251,
1299.0521, 0.019968027, 0.93716097,
1299.0525, 0.020058430, 0.93303347,
1299.0581, 0.021202753, 0.93339342,
1299.0585, 0.021288399, 0.93688619,
1299.0641, 0.022437480, 0.93518418,
1299.0645, 0.022527884, 0.93867230,
1299.0716, 0.023981483, 0.93941820,
1299.0720, 0.024071887, 0.93353486,
1299.0776, 0.025218588, 0.93562496,
1299.0781, 0.025313750, 0.93269348,
1299.0837, 0.026458073, 0.93028367,
1299.0841, 0.026548477, 0.93231046,
1299.0897, 0.027707074, 0.93326628,
1299.0902, 0.027797478, 0.93303472,
1299.0958, 0.028948938, 0.93271136,
1299.0962, 0.029036962, 0.93196040,
1299.1018, 0.030195559, 0.93380344,
1299.1023, 0.030283584, 0.93224412,
1299.1086, 0.031575408, 0.93062687,
1299.1090, 0.031665812, 0.92985505,
1299.1160, 0.033112274, 0.92439133,
1299.1165, 0.033202678, 0.92807841,
1299.1210, 0.034142402, 0.92591417,
1299.1215, 0.034232806, 0.92983824,
1299.1261, 0.035179668, 0.92991030,
1299.1265, 0.035270071, 0.92322391,
1299.1311, 0.036209796, 0.93199646,
1299.1315, 0.036297821, 0.93889129,
1299.1369, 0.037399320, 0.92678475,
1299.1373, 0.037489724, 0.92805833,
1323.7337, 0.093269148, 0.92363274,
1323.7341, 0.093359552, 0.92722785,
1323.7368, 0.093901975, 0.92431122,
1323.7372, 0.093992379, 0.92462850,
1323.7582, 0.098303217, 0.93383992,
1323.7586, 0.098393620, 0.92556298,
1323.7630, 0.099288143, 0.92951345,
1323.7634, 0.099378547, 0.93421334,
1323.7671, 0.10013271, 0.92396140,
1323.7712, 0.10097013, 0.92899573,
1323.7716, 0.10106053, 0.93402582,
1323.7753, 0.10181469, 0.92477977,
1323.7757, 0.10190510, 0.92255819,
1323.7978, 0.10644908, 0.92912835,
1324.7489, 0.30194032, 1.0598955,
1324.7493, 0.30203072, 1.0595202,
1324.7559, 0.30337964, 1.0667539,
1324.7563, 0.30347480, 1.0620240,
1324.7608, 0.30438360, 1.0596956,
1324.7612, 0.30447400, 1.0552849,
1324.7648, 0.30522103, 1.0650504,
1324.7653, 0.30531143, 1.0693864,
1324.7689, 0.30606083, 1.0617231,
1324.7694, 0.30614885, 1.0601599,
1324.7852, 0.30941291, 1.0613333,
1324.7857, 0.30950331, 1.0603466,
1324.7952, 0.31145889, 1.0651771,
1324.7956, 0.31154930, 1.0629221,
1324.8126, 0.31502985, 1.0688128,
1324.8130, 0.31511787, 1.0610106,
1324.9611, 0.34556018, 1.0652974,
1324.9615, 0.34565059, 1.0674558,
1325.0537, 0.36459258, 1.0652730,
1325.7299, 0.50358139, 1.0094805,
1325.7392, 0.50550604, 1.0023688,
1325.7397, 0.50559645, 1.0087582,
1325.7423, 0.50613887, 0.98804706,
1325.7427, 0.50622690, 0.97529870,
1325.7463, 0.50695726, 0.98919177,
1325.7467, 0.50705243, 1.0144514,
1325.7525, 0.50822530, 0.93296993,
1325.7572, 0.50921022, 0.99509883,
1325.7577, 0.50930063, 0.98353410,
1325.7614, 0.51005479, 0.99789858,
1325.7618, 0.51014281, 0.99964464,
1325.7654, 0.51088745, 1.0174351,
1325.7659, 0.51098024, 1.0009452,
1325.7696, 0.51174153, 1.0036057,
1325.7700, 0.51183194, 1.0006248,
1325.7736, 0.51257420, 0.99980050,
1325.7741, 0.51266460, 0.99570900,
1325.7777, 0.51341876, 0.99448192,
1325.7782, 0.51350917, 0.99512076,
1325.7818, 0.51425619, 0.99219787,
1325.7822, 0.51434659, 0.99398553,
1325.7866, 0.51524825, 0.99748099,
1325.7871, 0.51533866, 0.99365783,
1325.7915, 0.51625935, 0.99800527,
1325.7920, 0.51634975, 0.99659884,
1325.7956, 0.51710391, 0.99795479,
1325.7961, 0.51719431, 0.99527848,
1325.7997, 0.51794371, 0.99521428,
1325.8002, 0.51803174, 0.99361032,
1325.8038, 0.51878114, 0.99082506,
1325.8042, 0.51887154, 0.99537915,
1325.8089, 0.51983506, 0.99510640,
1325.8094, 0.51992784, 0.99578261,
1325.8148, 0.52104362, 0.99420166,
1325.8153, 0.52113402, 0.99147969,
1325.8199, 0.52208802, 0.99375540,
1325.8204, 0.52218318, 0.99112457,
1325.8250, 0.52313718, 0.99517775,
1325.8254, 0.52322758, 0.99284428,
1325.8324, 0.52465501, 0.99054527,
1325.8328, 0.52474542, 0.98637992,
1325.8376, 0.52572083, 0.98936325,
1325.8380, 0.52581123, 0.99090916,
1325.8427, 0.52676523, 0.99070895,
1325.8431, 0.52685563, 0.99136859,
1325.8478, 0.52783342, 0.99537110,
1325.8483, 0.52792383, 0.99145925,
1325.8530, 0.52888258, 0.98536837,
1325.8534, 0.52897299, 0.99140322,
1325.8581, 0.52993174, 0.99350929,
1325.8585, 0.53002215, 0.99570727,
1325.8642, 0.53119264, 0.99397129,
1325.8646, 0.53128066, 0.99152136,
1325.8711, 0.53261769, 0.99569285,
1325.8716, 0.53270809, 0.99678397,
1325.8780, 0.53403798, 0.99512291,
1325.8785, 0.53412839, 0.99542844,
1325.8841, 0.53529412, 0.99500698,
1325.8846, 0.53538452, 1.0007191,
1325.8903, 0.53656215, 0.99207318,
1325.8908, 0.53665494, 0.99668491,
1325.8953, 0.53759704, 0.99271291,
1325.8958, 0.53768744, 1.0015187,
1325.9011, 0.53878181, 1.0039839,
1325.9015, 0.53886983, 0.99914992,
1325.9061, 0.53981194, 1.0037121,
1325.9066, 0.53990472, 0.99820077,
1325.9139, 0.54140352, 1.0053718,
1325.9143, 0.54149392, 1.0071111,
1325.9199, 0.54263825, 1.0062020,
1325.9203, 0.54272865, 1.0069118,
1325.9259, 0.54387773, 0.99788558,
1325.9263, 0.54396813, 1.0039841,
1325.9319, 0.54511246, 1.0055745,
1325.9323, 0.54519810, 1.0080283,
1325.9379, 0.54634243, 1.0034578,
1325.9383, 0.54643283, 1.0027902,
1325.9439, 0.54758429, 1.0072039,
1325.9444, 0.54767945, 1.0071446,
1325.9500, 0.54883091, 1.0105735,
1325.9504, 0.54892131, 1.0054666,
1325.9576, 0.55039157, 1.0039457,
1325.9580, 0.55048197, 1.0044777,
1325.9646, 0.55183327, 1.0090940,
1325.9651, 0.55192843, 1.0070632,
1325.9725, 0.55344865, 1.0043521,
1325.9729, 0.55353905, 1.0055615,
1325.9795, 0.55489035, 1.0077858,
1325.9799, 0.55498551, 1.0046350,
1325.9866, 0.55634395, 1.0061786,
1325.9870, 0.55643911, 1.0091031,
1325.9943, 0.55794267, 1.0130589,
1325.9948, 0.55803069, 1.0187728,
1326.0021, 0.55953663, 1.0093601,
1326.0025, 0.55963179, 1.0129845,
1326.0092, 0.56099499, 1.0029601,
1326.0096, 0.56108777, 1.0061582,
1326.7210, 0.70730652, 1.0255089,
1326.7214, 0.70739930, 1.0246166,
1326.7241, 0.70793697, 1.0161407,
1326.7245, 0.70802737, 1.0199648,
1326.7271, 0.70856741, 1.0329993,
1326.7276, 0.70866020, 1.0291171,
1326.7302, 0.70919310, 1.0353051,
1326.7306, 0.70928113, 1.0320953,
1326.7332, 0.70982117, 1.0323075,
1326.7336, 0.70990920, 1.0213101,
1326.7363, 0.71045876, 1.0258098,
1326.7368, 0.71054916, 1.0345864,
1326.7394, 0.71109159, 1.0247161,
1326.7398, 0.71118199, 1.0280402,
1326.7434, 0.71191712, 1.0349520,
1326.7438, 0.71200276, 1.0262694,
1326.7464, 0.71254043, 1.0386665,
1326.7469, 0.71263321, 1.0353338,
1326.7495, 0.71317325, 1.0308678,
1326.7500, 0.71326128, 1.0295264,
1326.7543, 0.71416294, 1.0356570,
1326.7548, 0.71424858, 1.0321870,
1326.7584, 0.71500036, 1.0261930,
1326.7588, 0.71508601, 1.0310696,
1326.7625, 0.71583541, 1.0322723,
1326.7629, 0.71592819, 1.0339360,
1326.7666, 0.71667759, 1.0323535,
1326.7670, 0.71676800, 1.0277746,
1326.7706, 0.71751502, 1.0294584,
1326.7711, 0.71760542, 1.0391341,
1326.7747, 0.71835482, 1.0392271,
1326.7752, 0.71844285, 1.0219193,
1326.7788, 0.71919939, 1.0346918,
1326.7793, 0.71928979, 1.0286750,
1326.7829, 0.72004157, 1.0290468,
1326.7834, 0.72013197, 1.0289408,
1326.7877, 0.72102174, 1.0338987,
1326.7881, 0.72111214, 1.0330038,
1326.7918, 0.72186154, 1.0289021,
1326.7922, 0.72194957, 1.0276927,
1326.7959, 0.72270610, 1.0296409,
1326.7964, 0.72280127, 1.0298773,
1326.8000, 0.72355067, 1.0357975,
1326.8005, 0.72364345, 1.0447952,
1326.8051, 0.72459745, 1.0328124,
1326.8055, 0.72468785, 1.0316448,
1326.8111, 0.72582742, 1.0431243,
1326.8115, 0.72591782, 1.0333321,
1326.8162, 0.72688134, 1.0323975,
1326.8167, 0.72697174, 1.0333071,
1326.8214, 0.72794477, 1.0341129,
1326.8218, 0.72803280, 1.0286968,
1326.8288, 0.72946260, 1.0346262,
1326.8292, 0.72955063, 1.0347198,
1326.8339, 0.73052366, 1.0362839,
1326.8344, 0.73061169, 1.0331681,
1326.8391, 0.73158947, 1.0362046,
1326.8396, 0.73167988, 1.0407363,
1326.8443, 0.73264577, 1.0354351,
1326.8447, 0.73273618, 1.0348991,
1326.8494, 0.73369731, 1.0341023,
1326.8498, 0.73378772, 1.0336293,
1326.8545, 0.73474647, 1.0352122,
1326.8549, 0.73483450, 1.0368606,
1326.8606, 0.73600499, 1.0307621,
1326.8678, 0.73748952, 1.0401980,
1326.8748, 0.73892408, 1.0381843,
1326.8805, 0.74009458, 1.0386927,
1326.8867, 0.74136261, 1.0373967,
1327.7241, 0.91348682, 1.0040674,
1327.7245, 0.91357723, 1.0089518,
1327.7260, 0.91388888, 1.0051305,
1327.7264, 0.91397929, 1.0038743,
1327.7280, 0.91428856, 1.0064205,
1327.7284, 0.91437659, 1.0082144,
1327.7299, 0.91468348, 1.0110840,
1327.7303, 0.91477865, 1.0210375,
1327.7319, 0.91509268, 1.0072423,
1327.7323, 0.91518308, 1.0087180,
1327.7339, 0.91550188, 1.0061833,
1327.7343, 0.91559228, 1.0042864,
1327.7359, 0.91591345, 1.0072802,
1327.7363, 0.91600386, 1.0033511,
1327.7387, 0.91650821, 1.0086893,
1327.7392, 0.91659624, 1.0040051,
1327.7407, 0.91691027, 1.0085144,
1327.7411, 0.91700068, 1.0169024,
1327.7426, 0.91730758, 1.0045705,
1327.7431, 0.91739798, 1.0084610,
1327.7446, 0.91771201, 0.99922115,
1327.7451, 0.91780480, 1.0106422,
1327.7466, 0.91811407, 1.0000774,
1327.7470, 0.91820210, 1.0046500,
1327.7503, 0.91888013, 1.0066391,
1327.7507, 0.91897053, 1.0055286,
1327.7533, 0.91948916, 1.0116765,
1327.7537, 0.91957957, 1.0065553,
1327.7562, 0.92010296, 1.0076616,
1327.7567, 0.92019098, 1.0051464,
1327.7592, 0.92070962, 0.99829453,
1327.7596, 0.92080002, 1.0105765,
1327.7622, 0.92131865, 1.0038545,
1327.7626, 0.92140906, 1.0037485,
1327.7651, 0.92193245, 1.0105593,
1327.7656, 0.92202285, 1.0044423,
1327.7681, 0.92254148, 1.0057642,
1327.7685, 0.92262951, 1.0111058,
1327.7711, 0.92315290, 1.0032763,
1327.7715, 0.92324330, 1.0052062,
1327.7740, 0.92376194, 1.0004369,
1327.7745, 0.92385234, 0.99703068,
1327.7770, 0.92437097, 0.99946874,
1327.7774, 0.92445900, 0.99658650,
1327.7800, 0.92497763, 1.0010759,
1327.7804, 0.92506803, 0.99983341,
1327.7829, 0.92558429, 0.99883580,
1327.7833, 0.92567469, 0.99580443,
1327.7859, 0.92619332, 0.99935997,
1327.7863, 0.92627897, 0.99715441,
1327.7888, 0.92679522, 1.0018090,
1327.7892, 0.92688563, 0.99296677,
1327.7918, 0.92740426, 1.0030710,
1327.7922, 0.92749704, 0.99684620,
1327.7947, 0.92801568, 0.99695528,
1327.7952, 0.92810608, 0.99502897,
1327.7977, 0.92862471, 0.99195260,
1327.7981, 0.92871512, 0.99139130,
1327.8017, 0.92944311, 0.99452186,
1327.8021, 0.92953351, 0.99372447,
1327.8057, 0.93026388, 0.98959905,
1327.8061, 0.93035428, 0.99702603,
1327.8104, 0.93124167, 0.98868161,
1327.8109, 0.93133207, 0.99176461,
1327.8144, 0.93206720, 0.99638259,
1327.8149, 0.93216236, 0.99393326,
1327.8184, 0.93289035, 0.99333525,
1327.8189, 0.93297599, 0.99079663,
1327.8232, 0.93385862, 0.99227726,
1327.8236, 0.93394903, 0.99290609,
1327.8280, 0.93485544, 0.99010915,
1327.8284, 0.93494585, 0.99147904,
1327.8320, 0.93567621, 0.99220163,
1327.8324, 0.93576424, 0.98438931,
1327.8360, 0.93649937, 0.98903406,
1327.8364, 0.93658977, 0.99209124,
1327.8400, 0.93731776, 0.98967010,
1327.8404, 0.93740816, 0.99093425,
1327.8439, 0.93813139, 0.98700041,
1327.8444, 0.93822180, 0.99034357,
1327.8479, 0.93895217, 0.98654938,
1327.8484, 0.93904257, 0.98644608,
1327.8519, 0.93977056, 0.98399085,
1327.8524, 0.93986096, 0.98595047,
1327.8569, 0.94079831, 0.98658019,
1327.8573, 0.94088395, 0.98649973,
1327.8628, 0.94200211, 0.98025119,
1327.8632, 0.94209251, 0.98702860,
1327.8839, 0.94634625, 0.98647016,
1327.8844, 0.94643665, 0.98713350,
1327.8889, 0.94737162, 0.98383206,
1327.8893, 0.94746202, 0.98937452,
1327.8946, 0.94853973, 0.98317963,
1327.8950, 0.94862538, 0.98023242,
1327.8995, 0.94956035, 0.97988313,
1327.9000, 0.94964837, 0.98075545,
1327.9053, 0.95074749, 0.98118842,
1327.9058, 0.95084027, 0.97602272,
1327.9122, 0.95216778, 0.97387350,
1327.9127, 0.95225819, 0.97551239,
1327.9183, 0.95341679, 0.97821933,
1327.9188, 0.95350719, 0.98052484,
1327.9243, 0.95464675, 0.97629106,
1327.9247, 0.95473954, 0.98155159,
1327.9303, 0.95587910, 0.98040432,
1327.9307, 0.95596950, 0.98035008,
1327.9363, 0.95711383, 0.96941924,
1327.9367, 0.95720423, 0.97153813,
1327.9424, 0.95836283, 0.97386712,
1327.9428, 0.95845085, 0.96934032,
1327.9500, 0.95993062, 0.97451401,
1327.9504, 0.96001865, 0.97141045,
1327.9570, 0.96137470, 0.96431375,
1327.9575, 0.96146511, 0.96238118,
1327.9648, 0.96298056, 0.97060883,
1327.9653, 0.96307097, 0.96765172,
1327.9719, 0.96442702, 0.97308499,
1327.9723, 0.96451743, 0.97460961,
1327.9789, 0.96586635, 0.96652097,
1327.9793, 0.96596151, 0.96558177,
1327.9859, 0.96731757, 0.96722746,
1327.9864, 0.96740559, 0.96836674,
1327.9945, 0.96907569, 0.96742839,
1327.9949, 0.96916133, 0.96736008,
1328.0016, 0.97053404, 0.95636052,
1328.0020, 0.97062445, 0.96377897,
1328.0096, 0.97218510, 0.97107607,
1328.0101, 0.97227551, 0.96513844,
1328.0177, 0.97384806, 0.96563113,
1328.0181, 0.97393846, 0.96491063,
1328.0257, 0.97549912, 0.96388268,
1328.0262, 0.97558952, 0.96743208,
1328.0362, 0.97765454, 0.95892429,
1328.0367, 0.97774494, 0.95455170,
1328.0433, 0.97910814, 0.95974392,
1328.0437, 0.97919854, 0.95974904,
1328.0503, 0.98055222, 0.95418799,
1328.0508, 0.98064262, 0.96264976,
1328.0583, 0.98218425, 0.94877189,
1328.0587, 0.98227465, 0.95033699,
1328.7945, 0.13351557, 0.93859100,
1328.7950, 0.13361073, 0.94330478,
1328.8029, 0.13524276, 0.94057924,
1335.7254, 0.55816402, 0.95756793,
1335.7258, 0.55825204, 0.96916080,
1335.7281, 0.55872547, 0.95894367,
1335.7286, 0.55881587, 0.97194386,
1335.7301, 0.55913467, 0.94938916,
1335.7325, 0.55962237, 0.96083671,
1335.7340, 0.55993403, 0.95888162,
1335.7345, 0.56002443, 0.95849711,
1335.7359, 0.56033133, 0.95363444,
1336.7258, 0.76378762, 1.0536170,
1336.7262, 0.76387803, 1.0575911,
1336.7277, 0.76418968, 1.0587567,
1336.7282, 0.76428008, 1.0682497,
1336.7456, 0.76786531, 1.0190725,
1336.7460, 0.76795572, 1.0598330,
1336.8922, 0.79800549, 1.0605340,
1336.8927, 0.79809589, 1.0655495,
1336.8942, 0.79840279, 1.0586516,
1336.8946, 0.79849319, 1.0606083,
1336.8983, 0.79924259, 1.0570569,
1336.8987, 0.79933062, 1.0496393,
1336.9023, 0.80008002, 1.0527816,
1336.9028, 0.80017042, 1.0495150,
1336.9064, 0.80092220, 1.0493966,
1336.9069, 0.80101260, 1.0550485,
1336.9105, 0.80176201, 1.0465103,
1336.9109, 0.80185241, 1.0316386,
1336.9187, 0.80345113, 1.0425453,
1337.7262, 0.96942550, 0.96220052,
1337.7266, 0.96951591, 0.96862239,
1337.7281, 0.96982280, 0.96324492,
1337.7286, 0.96991321, 0.95762807,
1337.7311, 0.97043898, 0.96206093,
1337.7316, 0.97053176, 0.96009153,
1337.7341, 0.97105277, 0.96599531,
1337.7345, 0.97114080, 0.96870643,
1337.7371, 0.97165943, 0.95287442,
1337.7375, 0.97174983, 0.95100254,
1337.7400, 0.97226609, 0.96056682,
1337.7405, 0.97235649, 0.96199876,
1337.7430, 0.97287512, 0.96603727,
1337.7434, 0.97296553, 0.96122026,
1337.7459, 0.97348416, 0.96706027,
1337.7464, 0.97357218, 0.96022427,
1337.7489, 0.97409558, 0.96612430,
1337.7493, 0.97418122, 0.96337801,
1337.7527, 0.97487828, 0.95372361,
1337.7532, 0.97496869, 0.95835644,
1337.7566, 0.97567051, 0.95707709,
1337.7570, 0.97576567, 0.95809078,
1337.7596, 0.97629857, 0.95664215,
1337.7601, 0.97638660, 0.95988262,
1337.7626, 0.97690523, 0.96730512,
1337.7630, 0.97699088, 0.95401818,
1337.7655, 0.97751427, 0.96505839,
1337.7660, 0.97760229, 0.93144202,
1337.7685, 0.97812093, 0.96442020,
1337.7689, 0.97821133, 0.95532906,
1337.7715, 0.97872996, 0.95789480,
1337.7719, 0.97882037, 0.94037801,
1337.7754, 0.97954836, 0.98003417,
1337.7759, 0.97963876, 0.96235609,
1337.7802, 0.98052139, 0.96316147,
1337.7806, 0.98061179, 0.95678574,
1337.7842, 0.98134454, 0.94908631,
1337.7846, 0.98143018, 0.95033693,
1337.7882, 0.98217245, 0.96097374,
1337.7886, 0.98226285, 0.93884563,
1337.7986, 0.98430170, 0.93839675,
1337.8025, 0.98511533, 0.93316489,
1337.8030, 0.98520574, 0.94814807,
1337.8070, 0.98603602, 0.92008591,
1337.8105, 0.98676401, 0.94391543,
1337.8110, 0.98685442, 0.93865091,
1337.8329, 0.99136509, 0.94083732,
1337.8392, 0.99264502, 0.94923890,
1337.8396, 0.99273543, 0.94621360,
1337.8442, 0.99368229, 0.94275624,
1337.8446, 0.99377031, 0.94528282,
1337.8492, 0.99470528, 0.95101261,
1337.8496, 0.99479568, 0.93660665,
1337.8542, 0.99572827, 0.94602567,
1337.8546, 0.99581867, 0.93746728,
1337.8592, 0.99676316, 0.94024199,
1337.8699, 0.99897091, 0.93357778,
1337.8704, 0.99906132, 0.92871070,
1337.8876, 0.0025989644, 0.92871588,
1337.8880, 0.0026917473, 0.94888586,
1337.8936, 0.0038432071, 0.92497504,
1338.7281, 0.17536552, 0.96938646,
1338.7306, 0.17588891, 0.97763228,
1338.7311, 0.17597932, 0.95970565,
1338.7336, 0.17649795, 0.97211230,
1338.7341, 0.17659073, 0.97100210,
1338.7366, 0.17710936, 0.98176193,
1338.7370, 0.17719977, 0.99465096,
1338.7396, 0.17772554, 0.97083044,
1338.7400, 0.17781356, 0.97302550,
1338.8928, 0.20922653, 1.0038373,
1338.9044, 0.21161034, 1.0091898,
1338.9049, 0.21170074, 0.99785697,
1340.8859, 0.61890357, 0.98778862,
1340.8915, 0.62006217, 0.98318338,
1340.8920, 0.62015733, 0.97689676,
1340.8977, 0.62132782, 0.98410958,
1340.8982, 0.62142298, 0.97904170,
1340.9038, 0.62259110, 0.98414999,
1340.9043, 0.62268150, 0.97927821,
1340.9107, 0.62400663, 0.97809732,
1340.9112, 0.62409703, 0.97570246,
1340.9176, 0.62541265, 0.98114759,
1340.9180, 0.62550305, 0.97789425,
1340.9247, 0.62687100, 0.97556424,
1340.9251, 0.62696141, 0.98386812,
1340.9325, 0.62848876, 0.98497999,
1340.9330, 0.62857916, 0.97672307,
1340.9699, 0.63616595, 0.98904598,
1340.9703, 0.63625873, 0.98880786,
1340.9780, 0.63783842, 0.98726863,
1340.9785, 0.63793358, 0.99054384,
1340.9863, 0.63953944, 0.99094021,
1340.9868, 0.63963460, 0.98241067,
1341.7650, 0.79959712, 0.98257273,
1341.7654, 0.79968752, 0.98112965,
1342.7848, 0.0092294217, 0.94571579,
1342.7889, 0.010066847, 0.94800788,
1343.7275, 0.20300298, 0.92863905,
1343.7280, 0.20309339, 0.92432910,
1343.7329, 0.20410210, 0.93456173,
1344.7336, 0.40980660, 1.0355257,
1344.7341, 0.40989700, 1.0372984,
1345.7955, 0.62807247, 0.98022890,
1345.7991, 0.62880046, 0.97913271,
1345.7995, 0.62888849, 0.97698301,
1345.8040, 0.62982345, 0.98363870,
1345.8045, 0.62991861, 0.98397368,
1346.7591, 0.82614022, 1.0522600,
1346.7595, 0.82623062, 1.0506177,
1346.7632, 0.82698240, 1.0524007,
1346.7636, 0.82706805, 1.0527693,
1346.7672, 0.82780317, 1.0484660,
1346.7676, 0.82789120, 1.0514802,
1346.7736, 0.82912592, 1.0489975,
1346.7741, 0.82921633, 1.0457386,
1346.7776, 0.82994194, 1.0459403,
1346.7781, 0.83003472, 1.0475861,
1346.7896, 0.83240187, 1.0470958,
1346.7900, 0.83249228, 1.0401306,
1347.7406, 0.027876457, 0.92547631,
1347.7410, 0.027966861, 0.92639554,
1347.7436, 0.028497389, 0.92616993,
1347.7440, 0.028587793, 0.92221040,
1347.7476, 0.029325298, 0.92755681,
1347.7481, 0.029420460, 0.92375284,
1347.7525, 0.030329257, 0.92516083,
1347.7530, 0.030424419, 0.91876292,
1348.7451, 0.23435890, 1.0238861,
1348.7455, 0.23444930, 1.0234417,
1348.7499, 0.23534383, 1.0230007,
1348.7503, 0.23542947, 1.0217079,
1348.7538, 0.23615746, 1.0243955,
1348.7543, 0.23624786, 1.0237005,
1348.7579, 0.23698299, 1.0204656,
1348.7583, 0.23707339, 1.0165987,
1348.7635, 0.23814159, 1.0193526,
1348.7639, 0.23823199, 1.0251784,
1348.7683, 0.23912651, 1.0235258,
1348.7687, 0.23921692, 1.0234241,
1348.7723, 0.23995680, 1.0226518,
1348.7728, 0.24004721, 1.0256438,
1348.7763, 0.24077757, 1.0212516,
1348.7768, 0.24086798, 1.0238563,
1348.7804, 0.24160786, 1.0253726,
1348.7808, 0.24170302, 1.0225565,
1348.7844, 0.24244053, 1.0209668,
1348.7849, 0.24253569, 1.0274639,
1348.7885, 0.24327320, 1.0230942,
1348.7889, 0.24336360, 1.0253694,
1348.7925, 0.24410824, 1.0201076,
1348.7930, 0.24420103, 1.0238924,
1348.7976, 0.24515265, 1.0269502,
1348.7981, 0.24524781, 1.0274992,
1348.8027, 0.24620419, 1.0263216,
1348.8032, 0.24629935, 1.0243237,
1348.8094, 0.24757690, 1.0300310,
1348.8098, 0.24766730, 1.0274631,
1348.8145, 0.24862606, 1.0269307,
1348.8150, 0.24872122, 1.0274838,
1348.8195, 0.24966332, 1.0272431,
1348.8200, 0.24975373, 1.0275168,
